"","ID","psu","palika","ward","hhld","version","verified","interviewer_id","personid","v101","v629","v630","v630a","v631a","v631b","v632","v633","v634","v634a","v635","v635a","v636","v636a","v637","v638","v639a","v639b","v639c","v640","v640a","v641"
"69",3224,1208,11211,"9","3","v4","N",23,12704,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
"70",3224,1208,11211,"9","3","v4","N",23,12704,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
"71",3224,1208,11211,"9","3","v4","N",23,12705,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
"72",3224,1208,11211,"9","3","v4","N",23,12705,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
"73",3224,1208,11211,"9","3","v4","N",23,12706,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
"74",3225,1108,11211,"9","4","v4","Y",23,12707,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
"75",3225,1108,11211,"9","4","v4","Y",23,12707,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
"76",3225,1108,11211,"9","4","v4","Y",23,12707,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
"77",3225,1108,11211,"9","4","v4","Y",23,12708,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
"78",3225,1108,11211,"9","4","v4","Y",23,12708,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
"79",3225,1108,11211,"9","4","v4","Y",23,12709,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
"80",3225,1108,11211,"9","4","v4","Y",23,12709,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
"81",3241,1208,11211,"9","1","v4","N",24,12811,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5 ","__:__",NA,NA,"1 ",NA,"1 "
"82",3241,1208,11211,"9","1","v4","N",24,12811,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5 ","__:__",NA,NA,"1 ",NA,"1 "
"83",3241,1208,11211,"9","1","v4","N",24,12811,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5 ","__:__",NA,NA,"1 ",NA,"1 "
"84",3241,1208,11211,"9","1","v4","N",24,12811,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5 ","__:__",NA,NA,"1 ",NA,"1 "
"85",3241,1208,11211,"9","1","v4","N",24,12812,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5 ","__:__",NA,NA,"1 ",NA,"1 "
"86",3241,1208,11211,"9","1","v4","N",24,12812,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5 ","__:__",NA,NA,"1 ",NA,"1 "
