"","ID","total_hh_income","net_farm_income","net_remittance_received","cash_assistance_received","total_non_agri_income","rent_annual","other_income_annual","total_income","total_food_annual","net_expense_education","total_cost_chronic_inpatient","total_cost_chronic_outpatient","total_cost_acute","reported_oop","reimbursed_amount","total_health_cost","total_expenditure","income_expenditure_ratio"
"166",2248,0,0,0,0,0,0,41500,41500,1014416,414500,66925,27035,0,1e+05,0,93960,1522876,0.0272510696865667
"167",2249,0,0,0,0,0,0,0,0,232960,135600,0,0,0,50000,0,0,368560,0
"168",2252,0,-41000,0,0,196000,0,0,155000,82680,0,0,0,0,0,0,0,82680,1.87469762941461
"169",2253,1325000,0,0,0,0,0,4,1325004,445016,125000,0,5550,0,15000,5000,5550,575566,2.30208872657523
"170",2254,0,0,4e+05,0,0,0,135000,535000,250952,0,0,496100,0,454000,34000,496100,747052,0.716148273480293
"171",2255,825500,0,0,48000,0,420000,0,1293500,763880,0,0,38900,350,40000,0,39250,803130,1.61057363067
"172",2256,0,0,0,0,1485600,0,62000,1547600,232440,207000,0,0,1050,5000,0,1050,440490,3.51336012168267
"173",2257,2500000,0,-5467000,48000,1800000,0,25000,-1094000,504660,0,75950,161825,0,165775,0,237775,742435,-1.47352966926398
"174",2258,0,0,-2340000,0,1782000,0,50000,-508000,426660,0,0,5800,0,5780,0,5800,432460,-1.17467511446145
"175",2264,360000,0,0,0,0,0,3,360003,170300,0,71500,143000,0,285000,1e+05,214500,384800,0.935558731808732
"176",2271,0,0,0,48000,0,0,40000,88000,187200,0,0,3290,375,35000,3000,3665,190865,0.461058863594687
"177",2272,0,0,0,0,54000,0,10,54010,247000,0,0,0,0,0,0,0,247000,0.218663967611336
"178",2274,195000,0,0,25600,0,0,0,220600,305760,59700,0,0,350,5000,0,350,365810,0.603045296738744
"179",2276,595000,0,0,96000,0,0,50000,741000,540540,281100,7200,79785,0,25000,5000,86985,908625,0.815517952950887
"180",2277,0,76550,0,24000,6000,0,720,107270,309400,65000,0,225990,260,50000,0,226250,600650,0.178589860983934
"181",2289,0,-17300,0,48000,0,0,0,30700,111800,0,0,560,0,2000,0,560,112360,0.273228907084372
"182",2290,460000,21250,0,0,0,0,1000,482250,178880,110700,0,7440,0,6000,0,7440,297020,1.62362803851592
"183",2313,390000,-5300,0,72000,0,0,0,456700,244920,22450,0,3600,26750,90000,0,30350,297720,1.53399167002553
